lodate,value
1987-06-24,99.176187
1987-06-25,99.381375
1987-06-26,99.965988
1987-06-29,100.986691
1987-06-30,101.446181
1987-07-01,100.888580
1987-07-02,101.460162
1987-07-03,102.027278
1987-07-06,102.435299
1987-07-07,101.784250
1987-07-08,101.802902
1987-07-09,100.561470
1987-07-10,100.566033
1987-07-13,99.925392
1987-07-14,99.520666
1987-07-15,100.083243
1987-07-16,100.122771
1987-07-17,100.097776
1987-07-20,98.015578
1987-07-21,98.414888
1987-07-22,98.044801
1987-07-23,97.546892
1987-07-24,97.408236
1987-07-27,96.735906
1987-07-28,98.006842
1987-07-29,98.427363
1987-07-30,98.581127
1987-07-31,97.806244
1987-08-03,97.546641
1987-08-04,97.907847
1987-08-05,98.770486
1987-08-06,98.172534
1987-08-07,97.536256
1987-08-10,97.059439
1987-08-11,97.472876
1987-08-12,97.364142
1987-08-13,97.622021
1987-08-14,98.451153
1987-08-17,99.619052
1987-08-18,99.942571
1987-08-19,99.340960
1987-08-20,99.114183
1987-08-21,98.715433
1987-08-24,99.180879
1987-08-25,99.862212
1987-08-26,99.226926
1987-08-27,98.614042
1987-08-28,98.341846
1987-08-31,97.255910
1987-09-01,97.161431
1987-09-02,96.604164
1987-09-03,97.783970
1987-09-04,98.035967
1987-09-07,97.663228
1987-09-08,97.777403
1987-09-09,97.333948
1987-09-10,97.850230
1987-09-11,97.791627
1987-09-14,97.754124
1987-09-15,98.431224
1987-09-16,99.123440
1987-09-17,99.466588
1987-09-18,99.920282
1987-09-21,100.014770
1987-09-22,100.623450
1987-09-23,100.511732
1987-09-24,99.955232
1987-09-25,99.718603
1987-09-28,99.874275
1987-09-29,99.896643
1987-09-30,99.843846
1987-10-01,99.941894
1987-10-02,99.802249
1987-10-05,99.413696
1987-10-06,99.111023
1987-10-07,99.144431
1987-10-08,99.296090
1987-10-09,98.710958
1987-10-12,98.648607
1987-10-13,99.041321
1987-10-14,99.174816
1987-10-15,98.601869
1987-10-16,98.346562
1987-10-19,97.708349
1987-10-20,99.703971
1987-10-21,99.994600
1987-10-22,100.362332
1987-10-23,101.396266
1987-10-26,102.476960
1987-10-27,102.301380
1987-10-28,102.554220
1987-10-29,105.805221
1987-10-30,104.668270
1987-11-02,103.205066
1987-11-03,102.414962
1987-11-04,104.217912
1987-11-05,106.214709
1987-11-06,106.817702
1987-11-09,107.504589
1987-11-10,106.605060
1987-11-11,105.539992
1987-11-12,106.603373
1987-11-13,105.835626
1987-11-16,105.465078
1987-11-17,105.299582
1987-11-18,106.115596
1987-11-19,105.582476
1987-11-20,105.913943
1987-11-23,105.630098
1987-11-24,106.413626
1987-11-25,106.019163
1987-11-26,105.311729
1987-11-27,104.705505
1987-11-30,104.090429
1987-12-01,104.388987
1987-12-02,104.416325
1987-12-03,105.398437
1987-12-04,105.051630
1987-12-07,104.700980
1987-12-08,104.697367
1987-12-09,105.142391
1987-12-10,104.645086
1987-12-11,104.389650
1987-12-14,104.423893
1987-12-15,104.765684
1987-12-16,104.845307
1987-12-17,105.838062
1987-12-18,105.717752
1987-12-21,106.004358
1987-12-22,106.004420
1987-12-23,106.226799
1987-12-28,106.208416
1987-12-29,106.438092
1987-12-30,106.518693
1988-01-04,105.967425
1988-01-05,106.739637
1988-01-07,107.232661
1988-01-08,106.542768
1988-01-11,105.452145
1988-01-12,105.676733
1988-01-13,105.146021
1988-01-14,104.906263
1988-01-15,106.062944
1988-01-18,106.039328
1988-01-19,106.388518
1988-01-20,106.739581
1988-01-21,107.410979
1988-01-22,107.406388
1988-01-25,107.761758
1988-01-26,107.843584
1988-01-27,107.815773
1988-01-28,108.215328
1988-01-29,108.806218
1988-02-01,109.899055
1988-02-02,109.359446
1988-02-03,110.925488
1988-02-04,111.173859
1988-02-05,112.238236
1988-02-08,111.277655
1988-02-09,110.895336
1988-02-10,112.028239
1988-02-11,112.007129
1988-02-12,111.768480
1988-02-15,111.304675
1988-02-16,111.357318
1988-02-17,111.047136
1988-02-18,111.438775
1988-02-19,112.418214
1988-02-22,113.575129
1988-02-23,113.658822
1988-02-24,113.521404
1988-02-25,112.935805
1988-02-26,113.216239
1988-02-29,113.784357
1988-03-01,113.317335
1988-03-02,112.472484
1988-03-03,112.229377
1988-03-04,112.223593
1988-03-07,112.178611
1988-03-08,111.804219
1988-03-09,111.626098
1988-03-10,111.653493
1988-03-11,111.216287
1988-03-14,110.854212
1988-03-15,111.569262
1988-03-16,111.333890
1988-03-17,111.458649
1988-03-18,112.018712
1988-03-21,111.674363
1988-03-22,112.460984
1988-03-23,112.544633
1988-03-24,112.612138
1988-03-25,113.072035
1988-03-28,113.356310
1988-03-29,113.062517
1988-03-30,113.433406
1988-03-31,113.517305
1988-04-05,113.044381
1988-04-06,112.899976
1988-04-07,113.142823
1988-04-08,112.720111
1988-04-11,112.836191
1988-04-12,112.701282
1988-04-13,112.957290
1988-04-14,112.827337
1988-04-15,113.114688
1988-04-18,112.885777
1988-04-19,113.076198
1988-04-20,113.049716
1988-04-21,113.559212
1988-04-22,113.926441
1988-04-25,113.949360
1988-04-26,113.814440
1988-04-27,113.894925
1988-04-28,112.070428
1988-04-29,110.924592
1988-05-02,111.881052
1988-05-03,111.800754
1988-05-04,111.815783
1988-05-05,111.484206
1988-05-06,111.351434
1988-05-09,111.410601
1988-05-10,111.357565
1988-05-11,110.986525
1988-05-13,111.218973
1988-05-16,111.700544
1988-05-17,111.889578
1988-05-18,111.933202
1988-05-19,111.667824
1988-05-20,111.795575
1988-05-24,112.231508
1988-05-25,112.117242
1988-05-26,112.362723
1988-05-27,112.893852
1988-05-30,113.799466
1988-05-31,113.484113
1988-06-01,113.939618
1988-06-02,114.062165
1988-06-03,114.286864
1988-06-06,114.376353
1988-06-07,114.143857
1988-06-08,114.630083
1988-06-09,115.279563
1988-06-10,115.141511
1988-06-13,115.347083
1988-06-14,116.297473
1988-06-15,115.822591
1988-06-16,115.971668
1988-06-17,115.705315
1988-06-20,115.471003
1988-06-21,116.215263
1988-06-22,116.731097
1988-06-23,116.571272
1988-06-27,116.817652
1988-06-28,116.195200
1988-06-29,116.164741
1988-06-30,116.154402
1988-07-01,116.157568
1988-07-04,116.059725
1988-07-05,116.116765
1988-07-06,116.048756
1988-07-07,115.757292
1988-07-08,115.430840
1988-07-11,115.692890
1988-07-12,115.620392
1988-07-13,115.598796
1988-07-14,115.592743
1988-07-15,115.657544
1988-07-18,115.544049
1988-07-19,115.273323
1988-07-20,115.202445
1988-07-21,115.130476
1988-07-22,115.236913
1988-07-25,115.456187
1988-07-26,115.277525
1988-07-27,114.917750
1988-07-28,114.694396
1988-07-29,114.912858
1988-08-01,114.870844
1988-08-02,114.629456
1988-08-03,114.025402
1988-08-04,114.487901
1988-08-05,114.618690
1988-08-08,113.841906
1988-08-09,113.961152
1988-08-10,112.788325
1988-08-11,112.779717
1988-08-12,113.283486
1988-08-15,113.060096
1988-08-16,112.970548
1988-08-17,113.255823
1988-08-18,113.603851
1988-08-19,113.747055
1988-08-22,113.811601
1988-08-23,113.949229
1988-08-24,114.124888
1988-08-25,113.215145
1988-08-26,113.361861
1988-08-29,114.140159
1988-08-30,114.459649
1988-08-31,114.942361
1988-09-01,114.230010
1988-09-02,114.113740
1988-09-05,115.308343
1988-09-06,115.510943
1988-09-07,116.001522
1988-09-08,115.593405
1988-09-09,115.725622
1988-09-12,115.857634
1988-09-13,115.058990
1988-09-14,115.369815
1988-09-15,115.302941
1988-09-16,115.140688
1988-09-19,115.951915
1988-09-20,115.925014
1988-09-21,116.441015
1988-09-22,116.965859
1988-09-23,116.436029
1988-09-26,115.961125
1988-09-27,116.010924
1988-09-28,115.684204
1988-09-29,115.576351
1988-09-30,115.754329
1988-10-03,115.707268
1988-10-04,115.346501
1988-10-05,115.137387
1988-10-06,115.675064
1988-10-07,116.005385
1988-10-10,116.525639
1988-10-11,116.608489
1988-10-12,116.737721
1988-10-13,116.593399
1988-10-14,116.929842
1988-10-17,117.084490
1988-10-18,117.171707
1988-10-19,117.026753
1988-10-20,117.570131
1988-10-21,118.322838
1988-10-24,120.443275
1988-10-25,121.573603
1988-10-26,120.904400
1988-10-27,120.710652
1988-10-28,120.599254
1988-10-31,120.787764
1988-11-01,121.608093
1988-11-02,122.146863
1988-11-03,121.758109
1988-11-04,122.098192
1988-11-07,120.922791
1988-11-08,120.963535
1988-11-09,120.190244
1988-11-10,120.366025
1988-11-11,120.311892
1988-11-14,120.418325
1988-11-15,120.760770
1988-11-16,121.015408
1988-11-17,120.982140
1988-11-18,121.066830
1988-11-21,121.537186
1988-11-22,121.886493
1988-11-23,121.670353
1988-11-24,121.502998
1988-11-25,120.920189
1988-11-28,120.812996
1988-11-29,120.975980
1988-11-30,121.417052
1988-12-01,121.502013
1988-12-02,121.473241
1988-12-05,121.632632
1988-12-06,121.862840
1988-12-07,122.232248
1988-12-08,122.216359
1988-12-09,122.346265
1988-12-12,122.395923
1988-12-13,122.257775
1988-12-14,121.874872
1988-12-15,122.198996
1988-12-16,122.712468
1988-12-19,123.068381
1988-12-20,123.839653
1988-12-21,124.187969
1988-12-22,124.414231
1988-12-23,124.672036
1988-12-27,125.225982
1988-12-28,125.272020
1988-12-29,125.734800
1988-12-30,125.736293
1989-01-02,125.447328
1989-01-03,127.323281
1989-01-04,127.430680
1989-01-05,127.399140
1989-01-09,128.598388
1989-01-10,130.994300
1989-01-11,131.263745
1989-01-12,130.080380
1989-01-13,130.563416
1989-01-16,130.138262
1989-01-17,130.878936
1989-01-18,130.614912
1989-01-19,130.083356
1989-01-20,130.027965
1989-01-23,130.368400
1989-01-24,130.952512
1989-01-25,131.430729
1989-01-26,131.344869
1989-01-27,131.287359
1989-01-30,131.862585
1989-01-31,132.137840
1989-02-01,131.785135
1989-02-02,131.415924
1989-02-03,131.377271
1989-02-06,131.438562
1989-02-07,131.646606
1989-02-08,132.152301
1989-02-09,132.218094
1989-02-10,132.599436
1989-02-13,131.810192
1989-02-14,131.198823
1989-02-15,131.014536
1989-02-16,130.469806
1989-02-17,130.615198
1989-02-20,130.062563
1989-02-21,129.517925
1989-02-22,128.759991
1989-02-23,128.658794
1989-02-24,127.720910
1989-02-27,126.844196
1989-02-28,126.679861
1989-03-01,126.900111
1989-03-02,126.869191
1989-03-03,126.715449
1989-03-06,126.967137
1989-03-07,127.405952
1989-03-08,127.029429
1989-03-09,125.395464
1989-03-10,124.893406
1989-03-13,125.343446
1989-03-14,126.258035
1989-03-15,125.801801
1989-03-16,124.962751
1989-03-17,125.275686
1989-03-20,124.042951
1989-03-21,124.068987
1989-03-22,124.898570
1989-03-23,124.940585
1989-03-28,125.407656
1989-03-29,125.684140
1989-03-30,125.559425
1989-03-31,125.380878
1989-04-03,125.768034
1989-04-04,125.968397
1989-04-05,126.038548
1989-04-06,126.035576
1989-04-07,125.806283
1989-04-10,125.210477
1989-04-11,125.238666
1989-04-12,123.917349
1989-04-13,123.860852
1989-04-14,123.514957
1989-04-17,125.258461
1989-04-18,125.772085
1989-04-19,125.565249
1989-04-20,126.575997
1989-04-21,125.114088
1989-04-24,124.146248
1989-04-25,124.556591
1989-04-26,123.902044
1989-04-27,125.197750
1989-04-28,125.030055
1989-05-02,124.753506
1989-05-03,124.796054
1989-05-05,124.717372
1989-05-08,124.544860
1989-05-09,125.443822
1989-05-10,125.491352
1989-05-12,124.978583
1989-05-16,125.143088
1989-05-17,124.789686
1989-05-18,124.810292
1989-05-19,125.366292
1989-05-22,126.446857
1989-05-23,127.641096
1989-05-24,128.675877
1989-05-25,127.731071
1989-05-26,126.844260
1989-05-29,127.585278
1989-05-30,127.623872
1989-05-31,127.740668
1989-06-01,127.317469
1989-06-02,126.554452
1989-06-05,126.570353
1989-06-06,126.172431
1989-06-07,126.489191
1989-06-08,126.391794
1989-06-09,126.582872
1989-06-12,126.297914
1989-06-13,126.547201
1989-06-14,126.806845
1989-06-15,125.926973
1989-06-16,125.920138
1989-06-19,125.499573
1989-06-20,125.322214
1989-06-21,125.320360
1989-06-22,125.850840
1989-06-26,125.016181
1989-06-27,124.799855
1989-06-28,125.321469
1989-06-29,124.832906
1989-06-30,124.660816
1989-07-03,124.856804
1989-07-04,125.413697
1989-07-05,125.357378
1989-07-06,125.695508
1989-07-07,125.359541
1989-07-10,125.498196
1989-07-11,125.744935
1989-07-12,126.092521
1989-07-13,126.336264
1989-07-14,126.453137
1989-07-17,126.246084
1989-07-18,126.532617
1989-07-19,126.330754
1989-07-20,126.269748
1989-07-21,126.656692
1989-07-24,126.823684
1989-07-25,126.722050
1989-07-26,126.743184
1989-07-27,127.053719
1989-07-28,127.520559
1989-07-31,127.412689
1989-08-01,128.177096
1989-08-02,128.675252
1989-08-03,128.765363
1989-08-04,128.554873
1989-08-07,128.523707
1989-08-08,128.511887
1989-08-09,128.384755
1989-08-10,128.557559
1989-08-11,128.773463
1989-08-14,128.668433
1989-08-15,129.411425
1989-08-16,129.707801
1989-08-17,129.523497
1989-08-18,129.145704
1989-08-21,128.570538
1989-08-22,128.415935
1989-08-23,128.765673
1989-08-24,129.844306
1989-08-25,129.540877
1989-08-28,129.593740
1989-08-29,129.443509
1989-08-30,129.589819
1989-08-31,129.934567
1989-09-01,129.807604
1989-09-04,129.926292
1989-09-05,129.592703
1989-09-06,129.240684
1989-09-07,129.327206
1989-09-08,129.422442
1989-09-11,128.949085
1989-09-12,129.118674
1989-09-13,129.442548
1989-09-14,129.505561
1989-09-15,129.974987
1989-09-18,130.706189
1989-09-19,130.500907
1989-09-20,130.948522
1989-09-21,131.144234
1989-09-22,131.489607
1989-09-25,130.902448
1989-09-26,130.866246
1989-09-27,130.792878
1989-09-28,130.756851
1989-09-29,130.170192
1989-10-02,130.219298
1989-10-03,130.587707
1989-10-04,130.089181
1989-10-05,129.950204
1989-10-06,130.188587
1989-10-09,130.483282
1989-10-10,130.367539
1989-10-11,129.741553
1989-10-12,128.036311
1989-10-13,127.384328
1989-10-16,128.020936
1989-10-17,127.430587
1989-10-18,127.378395
1989-10-19,126.774134
1989-10-20,126.089902
1989-10-23,124.941619
1989-10-24,125.665259
1989-10-25,126.353292
1989-10-26,125.788056
1989-10-27,126.010124
1989-10-30,125.650627
1989-10-31,125.451344
1989-11-01,125.400892
1989-11-02,125.010451
1989-11-03,124.451874
1989-11-06,123.543928
1989-11-07,123.758035
1989-11-08,124.455129
1989-11-09,124.864997
1989-11-10,124.673113
1989-11-13,121.659861
1989-11-14,118.204815
1989-11-15,116.676402
1989-11-16,116.235008
1989-11-17,116.614816
1989-11-20,116.633886
1989-11-21,113.290348
1989-11-22,112.201798
1989-11-23,113.978370
1989-11-24,113.380018
1989-11-27,112.588216
1989-11-28,113.415670
1989-11-29,112.997754
1989-11-30,113.143004
1989-12-01,111.456888
1989-12-04,111.223424
1989-12-05,111.871009
1989-12-06,111.482351
1989-12-07,113.032877
1989-12-08,113.017037
1989-12-11,113.129821
1989-12-12,113.332662
1989-12-13,112.717662
1989-12-14,113.836151
1989-12-15,113.338541
1989-12-18,112.880926
1989-12-19,113.083321
1989-12-20,113.061915
1989-12-21,113.243665
1989-12-22,113.159139
1989-12-27,112.903874
1989-12-28,111.529132
1989-12-29,110.705805
1990-01-02,109.418791
1990-01-03,111.034852
1990-01-04,110.297672
1990-01-05,110.078918
1990-01-08,110.469354
1990-01-09,111.320446
1990-01-10,110.536746
1990-01-11,109.364127
1990-01-12,109.329487
1990-01-15,109.483463
1990-01-16,110.025566
1990-01-17,109.711200
1990-01-18,109.245542
1990-01-19,108.544313
1990-01-22,108.658379
1990-02-19,99.624535
1990-02-20,100.584995
1990-02-21,100.732174
1990-02-22,101.129824
1990-02-23,101.402028
1990-02-26,100.907959
1990-02-27,101.641589
1990-02-28,102.715514
1990-03-01,102.639577
1990-03-02,102.552831
1990-03-05,102.347472
1990-03-06,102.152166
1990-03-07,101.131178
1990-03-08,101.043807
1990-03-09,101.355036
1990-03-12,101.320564
1990-03-13,101.505431
1990-03-14,101.142066
1990-03-15,101.370958
1990-03-16,101.118756
1990-03-19,101.009614
1990-03-20,100.993821
1990-03-21,101.094223
1990-03-22,101.263854
1990-03-23,101.306454
1990-03-26,101.308799
1990-03-27,102.588280
1990-03-28,102.229725
1990-03-29,102.335106
1990-03-30,102.220423
1990-04-02,102.304173
1990-04-03,102.666991
1990-04-04,103.418159
1990-04-05,103.854018
1990-04-06,106.558625
1990-04-09,106.413981
1990-04-10,105.037934
1990-04-11,104.329879
1990-04-12,104.965316
1990-04-17,105.056635
1990-04-18,104.252661
1990-04-19,104.243304
1990-04-20,105.406215
1990-04-23,105.367086
1990-04-24,105.037786
1990-04-25,104.924587
1990-04-26,104.787634
1990-04-27,104.914707
1990-04-30,104.853449
1990-05-02,104.766526
1990-05-03,106.425760
1990-05-04,107.095422
1990-05-07,107.352661
1990-05-08,107.358825
1990-05-09,108.232722
1990-05-10,108.306756
1990-05-11,108.129205
1990-05-14,108.699819
1990-05-15,108.870422
1990-05-16,110.857938
1990-05-17,112.017665
1990-05-18,112.151383
1990-05-21,111.892925
1990-05-22,111.652192
1990-05-23,111.826329
1990-05-25,112.408627
1990-05-28,112.429571
1990-05-29,111.756650
1990-05-30,110.899288
1990-05-31,111.392420
1990-06-01,111.546202
1990-06-05,112.659399
1990-06-06,112.953134
1990-06-07,113.423711
1990-06-08,113.826696
1990-06-11,113.925865
1990-06-12,113.974642
1990-06-13,114.167390
1990-06-14,114.787146
1990-06-15,115.920354
1990-06-18,115.289526
1990-06-19,116.619123
1990-06-20,117.185534
1990-06-21,117.565153
1990-06-25,118.850578
1990-06-26,118.396799
1990-06-27,118.840894
1990-06-28,118.485400
1990-06-29,117.932151
1990-07-02,117.394976
1990-07-03,117.143842
1990-07-04,117.350842
1990-07-05,117.367698
1990-07-06,117.371794
1990-07-09,116.524634
1990-07-10,115.838590
1990-07-11,115.738685
1990-07-12,115.677190
1990-07-13,115.777526
1990-07-16,116.627598
1990-07-17,118.349559
1990-07-18,118.834633
1990-07-19,118.689113
1990-07-20,118.416428
1990-07-23,117.728581
1990-07-24,117.749676
1990-07-25,117.502777
1990-07-26,117.804336
1990-07-27,117.387034
1990-07-30,118.126269
1990-07-31,118.075192
1990-08-01,118.330943
1990-08-02,117.921830
1990-08-03,117.926075
1990-08-06,116.105549
1990-08-07,114.658541
1990-08-08,113.131401
1990-08-09,113.567829
1990-08-10,114.968004
1990-08-13,114.175683
1990-08-14,114.382813
1990-08-15,115.039900
1990-08-16,113.999389
1990-08-17,112.715368
1990-08-20,111.665489
1990-08-21,110.848891
1990-08-22,111.564767
1990-08-23,109.283466
1990-08-24,109.452070
1990-08-27,111.459685
1990-08-28,112.947858
1990-08-29,111.888183
1990-08-30,112.273770
1990-08-31,112.446583
1990-09-03,112.485374
1990-09-04,112.244632
1990-09-05,112.137287
1990-09-06,111.669382
1990-09-07,111.619525
1990-09-10,112.392382
1990-09-11,112.256973
1990-09-12,112.712900
1990-09-13,113.826744
1990-09-14,113.468994
1990-09-17,112.802155
1990-09-18,112.954454
1990-09-19,113.546807
1990-09-20,113.528181
1990-09-21,112.981950
1990-09-24,112.219508
1990-09-25,112.209832
1990-09-26,112.514029
1990-09-27,112.642395
1990-09-28,111.752424
1990-10-01,112.911973
1990-10-02,113.987092
1990-10-03,113.710182
1990-10-04,113.770184
1990-10-05,113.893758
1990-10-08,115.446554
1990-10-09,114.178351
1990-10-10,114.129794
1990-10-11,113.501081
1990-10-12,112.644504
1990-10-15,111.836817
1990-10-16,111.577188
1990-10-17,110.580269
1990-10-18,112.107164
1990-10-19,112.835690
1990-10-22,113.715182
1990-10-23,114.730731
1990-10-24,114.431442
1990-10-25,114.516020
1990-10-26,114.657955
1990-10-29,114.146103
1990-10-30,114.247865
1990-10-31,114.654939
1990-11-01,115.813506
1990-11-02,116.247752
1990-11-05,117.875771
1990-11-06,117.799667
1990-11-07,119.121881
1990-11-08,118.663725
1990-11-09,118.493552
1990-11-12,118.937196
1990-11-13,119.010794
1990-11-14,118.098497
1990-11-15,118.099480
1990-11-16,119.010524
1990-11-19,120.467259
1990-11-20,121.191076
1990-11-21,121.116234
1990-11-22,120.978010
1990-11-23,121.739364
1990-11-26,121.333792
1990-11-27,121.778833
1990-11-28,121.071395
1990-11-29,120.775063
1990-11-30,121.801902
1990-12-03,122.673991
1990-12-04,122.807929
1990-12-05,123.756535
1990-12-06,125.487175
1990-12-07,125.261639
1990-12-10,125.456640
1990-12-11,126.730267
1990-12-12,127.783028
1990-12-13,128.146372
1990-12-14,127.470501
1990-12-17,126.774822
1990-12-18,127.198974
1990-12-19,127.821203
1990-12-20,126.964508
1990-12-21,127.266656
1990-12-27,126.861054
1990-12-28,127.718991
1991-01-02,127.491861
1991-01-03,127.541574
1991-01-04,127.883315
1991-01-07,127.431167
1991-01-08,126.816733
1991-01-09,128.725429
1991-01-10,128.984238
1991-01-11,131.656443
1991-01-14,130.258730
1991-01-15,130.045342
1991-01-16,130.537495
1991-01-17,137.316062
1991-01-18,135.890871
1991-01-21,135.036949
1991-01-22,138.550693
1991-01-23,139.322606
1991-01-24,140.112696
1991-01-25,140.644802
1991-01-28,140.877866
1991-01-29,141.127899
1991-01-30,140.642338
1991-01-31,141.546079
1991-02-01,144.302978
1991-02-04,145.102442
1991-02-05,144.478608
1991-02-06,143.990029
1991-02-07,143.211171
1991-02-08,142.839920
1991-02-11,144.539559
1991-02-12,144.302096
1991-02-13,144.241001
1991-02-14,145.925072
1991-02-15,147.329339
1991-02-18,149.637187
1991-02-19,150.490630
1991-02-20,150.891008
1991-02-21,148.915886
1991-02-22,150.687284
1991-02-25,150.128123
1991-02-26,148.877194
1991-02-27,148.024653
1991-02-28,147.003181
1991-03-01,145.977275
1991-03-04,147.154276
1991-03-05,146.013576
1991-03-06,146.272452
1991-03-07,146.969966
1991-03-08,147.532127
1991-03-11,148.529440
1991-03-12,147.662078
1991-03-13,146.583255
1991-03-14,146.031791
1991-03-15,145.540574
1991-03-18,145.039247
1991-03-19,142.782365
1991-03-20,142.623047
1991-03-21,144.411943
1991-03-22,145.374967
1991-03-25,144.059574
1991-03-26,143.751989
1991-03-27,144.285662
1991-03-28,144.008675
1991-04-02,144.141546
1991-04-03,145.739126
1991-04-04,144.657195
1991-04-05,144.370179
1991-04-08,146.266745
1991-04-09,145.704811
1991-04-10,146.232702
1991-04-11,146.518910
1991-04-12,146.913282
1991-04-15,147.063111
1991-04-16,146.244540
1991-04-17,146.088836
1991-04-18,145.391877
1991-04-19,145.383057
1991-04-22,146.613786
1991-04-23,146.976548
1991-04-24,147.710451
1991-04-25,147.588869
1991-04-26,148.116731
1991-04-29,148.234987
1991-04-30,148.091925
1991-05-02,150.771472
1991-05-03,151.039053
1991-05-06,150.953134
1991-05-07,152.233026
1991-05-08,151.277237
1991-05-10,152.704629
1991-05-13,153.511549
1991-05-14,153.127300
1991-05-15,153.513455
1991-05-16,155.336614
1991-05-17,156.036585
1991-05-21,164.299485
1991-05-22,163.221739
1991-05-23,163.211894
1991-05-24,163.945291
1991-05-27,163.894123
1991-05-28,163.694890
1991-05-29,164.199928
1991-05-30,165.260440
1991-05-31,165.679196
1991-06-03,167.583361
1991-06-04,165.561086
1991-06-05,164.063340
1991-06-06,164.479513
1991-06-07,163.433287
1991-06-10,162.561818
1991-06-11,162.974897
1991-06-12,163.404769
1991-06-13,163.519469
1991-06-14,162.650813
1991-06-17,161.245080
1991-06-18,162.091675
1991-06-19,162.270247
1991-06-20,162.204402
1991-06-24,162.195242
1991-06-25,162.338944
1991-06-26,162.243329
1991-06-27,162.106087
1991-06-28,162.126046
1991-07-01,163.069232
1991-07-02,162.559092
1991-07-03,162.463392
1991-07-04,162.583385
1991-07-05,162.451181
1991-07-08,161.951723
1991-07-09,162.507969
1991-07-10,163.104947
1991-07-11,164.217037
1991-07-12,164.236849
1991-07-15,164.559039
1991-07-16,164.906165
1991-07-17,165.188469
1991-07-18,164.852952
1991-07-19,164.873348
1991-07-22,164.068305
1991-07-23,163.647595
1991-07-24,163.998423
1991-07-25,163.965590
1991-07-26,163.797166
1991-07-29,163.258465
1991-07-30,162.710479
1991-07-31,161.826292
1991-08-01,161.532070
1991-08-02,162.381016
1991-08-05,162.630400
1991-08-06,162.109900
1991-08-07,163.829794
1991-08-08,163.375124
1991-08-09,164.033208
1991-08-12,162.917779
1991-08-13,163.935038
1991-08-14,165.514229
1991-08-15,165.295465
1991-08-16,165.169090
1991-08-19,163.418682
1991-08-20,164.542752
1991-08-21,165.371850
1991-08-22,165.804996
1991-08-23,164.655248
1991-08-26,165.584206
1991-08-27,167.158619
1991-08-28,166.909700
1991-08-29,167.918788
1991-08-30,167.614082
1991-09-02,167.125877
1991-09-03,166.828312
1991-09-04,165.939382
1991-09-05,167.442866
1991-09-06,168.455037
1991-09-09,170.223174
1991-09-10,170.410236
1991-09-11,170.377283
1991-09-12,172.501846
1991-09-13,172.407088
1991-09-16,171.083174
1991-09-17,171.642938
1991-09-18,174.348252
1991-09-19,175.250501
